UF;Bacia;Exploração;Nome_ANP;Campo;Operador;Período;Petróleo_(bbl/dia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-253-RJ;ENCHOVA OESTE;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ENO-5D-RJS;ENCHOVA OESTE;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ENO-6D-RJS;ENCHOVA OESTE;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-430D-RJ;ENCHOVA OESTE;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-BRSA-589-RJS;ENCHOVA OESTE;Trident Energy;2023/01;911,4213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-BRSA-767A-RJS;MARIMBÁ;Trident Energy;2023/01;546,4666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-MA-18DP-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-16D-RJS;MARIMBÁ;Trident Energy;2023/01;91,8073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-17D-RJS;MARIMBÁ;Trident Energy;2023/01;684,6188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-14D-RJS;MARIMBÁ;Trident Energy;2023/01;269,9197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-MA-11-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-MA-12-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-RJS-450D-RJ;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-10-RJS;MARIMBÁ;Trident Energy;2023/01;1.545,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-22-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-9D-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-8D-RJS;MARIMBÁ;Trident Energy;2023/01;1.573,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-6D-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-RJS-394D-RJ;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-338-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-MA-27HA-RJS;MARIMBÁ;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-JUB-11HPA-ESS;JUBARTE;Petrobras;2023/01;1.410,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-JUB-13HP-ESS;JUBARTE;Petrobras;2023/01;3.021,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;8-JUB-59D-ESS;JUBARTE;Petrobras;2023/01;2.533,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;6-BRSA-1222A-ESS;JUBARTE;Petrobras;2023/01;8.849,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BAZ-3-ESS;JUBARTE;Petrobras;2023/01;2.630,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BAZ-4-ESS;JUBARTE;Petrobras;2023/01;3.997,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BAZ-8-ESS;JUBARTE;Petrobras;2023/01;3.292,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BAZ-9HA-ESS;JUBARTE;Petrobras;2023/01;2.567,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;3-BRSA-149HPA-ESS;JUBARTE;Petrobras;2023/01;1.807,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BFR-10HP-ESS;JUBARTE;Petrobras;2023/01;4.601,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BFR-13H-ESS;JUBARTE;Petrobras;2023/01;4.347,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-JUB-2HPA-ESS;JUBARTE;Petrobras;2023/01;2.373,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-JUB-4HP-ESS;JUBARTE;Petrobras;2023/01;2.674,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-JUB-9HP-ESS;JUBARTE;Petrobras;2023/01;2.426,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Campos;mar;7-BFR-7-ESS;JUBARTE;Petrobras;2023/01;5.113,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-VM-78DP-RJS;VERMELHO;Perenco Brasil;2023/01;136,5846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-VM-39D-RJS;VERMELHO;Perenco Brasil;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-VM-14D-RJS;VERMELHO;Perenco Brasil;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-VM-34D-RJS;VERMELHO;Perenco Brasil;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-90D-RJS;SUL DE TUPI;Petrobras;2023/01;1.201,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-46-RJS;SUL DE TUPI;Petrobras;2023/01;740,2256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-84D-RJS;SUL DE TUPI;Petrobras;2023/01;1.297,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-85-RJS;SUL DE TUPI;Petrobras;2023/01;183,8686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;9-BRSA-908D-RJS;SUL DE TUPI;Petrobras;2023/01;284,7977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;4-BRSA-1047-RJS;SUL DE TUPI;Petrobras;2023/01;1.298,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-3D-RJS;SUL DE TUPI;Petrobras;2023/01;12,0608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-11-RJS;SUL DE TUPI;Petrobras;2023/01;440,4172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;1-BRSA-1116-RJS;ITAPU_ECO;Petrobras;2023/01;24.589,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;1-BRSA-1146-RJS;AnC_NORTE_ATAPU;Petrobras;2023/01;142,6665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;3-BRSA-1172-RJS;AnC_NORTE_ATAPU;Petrobras;2023/01;245,4686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;9-BRSA-1284-RJS;AnC_NORTE_ATAPU;Petrobras;2023/01;198,2294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-15D-RJS;SUL DE TUPI;Petrobras;2023/01;2.037,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-22D-RJS;SUL DE TUPI;Petrobras;2023/01;1.534,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-28D-RJS;SUL DE TUPI;Petrobras;2023/01;1.543,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-34D-RJS;SUL DE TUPI;Petrobras;2023/01;696,7866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-48D-RJS;SUL DE TUPI;Petrobras;2023/01;1.310,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;3-BRSA-496-RJS;SUL DE TUPI;Petrobras;2023/01;375,9931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-60D-RJS;SUL DE TUPI;Petrobras;2023/01;920,0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-61-RJS;SUL DE TUPI;Petrobras;2023/01;1.419,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-66-RJS;SUL DE TUPI;Petrobras;2023/01;1.316,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-67D-RJS;SUL DE TUPI;Petrobras;2023/01;154,4796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;mar;7-TTG-1DP-SES;TARTARUGA;SPE Tiêta;2023/01;181,6396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;mar;7-TTG-2HPA-SES;TARTARUGA;SPE Tiêta;2023/01;11,3785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
