Date,Open,High,Low,Close,Volume,Stock Name
2000-01-03,5.9,5.88,5.88,5.88,35389440000,PETR4.SA
2000-01-04,5.6,5.55,5.55,5.55,28861440000,PETR4.SA
2000-01-05,5.5,5.49,5.49,5.49,43033600000,PETR4.SA
2000-01-06,5.5,5.47,5.47,5.47,34055680000,PETR4.SA
2000-01-07,5.5,5.5,5.5,5.5,20912640000,PETR4.SA
2000-01-10,5.6,5.61,5.61,5.61,19563520000,PETR4.SA
2000-01-11,5.5,5.47,5.47,5.47,23987200000,PETR4.SA
2000-01-12,5.5,5.48,5.48,5.48,23301120000,PETR4.SA
2000-01-13,5.3,5.32,5.32,5.32,26383360000,PETR4.SA
2000-01-14,5.4,5.4,5.4,5.4,16657920000,PETR4.SA
2000-01-17,5.3,5.34,5.34,5.34,16573440000,PETR4.SA
2000-01-18,5.4,5.36,5.36,5.36,17925120000,PETR4.SA
2000-01-19,5.3,5.32,5.32,5.32,38883840000,PETR4.SA
2000-01-20,5.3,5.31,5.31,5.31,26268160000,PETR4.SA
2000-01-21,5.2,5.2,5.2,5.2,17512960000,PETR4.SA
2000-01-24,5.2,5.16,5.16,5.16,18385920000,PETR4.SA
2000-01-25,5.2,5.16,5.16,5.16,0,PETR4.SA
2000-01-26,5.2,5.22,5.22,5.22,25917440000,PETR4.SA
2000-01-27,5.2,5.19,5.19,5.19,38379520000,PETR4.SA
2000-01-28,5.2,5.19,5.19,5.19,17894400000,PETR4.SA
2000-01-31,5.1,5.1,5.1,5.1,32266240000,PETR4.SA
2000-02-01,5.2,5.2,5.2,5.2,23672320000,PETR4.SA
2000-02-02,5.3,5.3,5.3,5.3,14272000000,PETR4.SA
2000-02-03,5.4,5.45,5.45,5.45,25950720000,PETR4.SA
2000-02-04,5.6,5.59,5.59,5.59,21199360000,PETR4.SA
2000-02-07,5.6,5.62,5.62,5.62,20613120000,PETR4.SA
2000-02-08,5.8,5.75,5.75,5.75,31498240000,PETR4.SA
2000-02-09,5.6,5.62,5.62,5.62,15600640000,PETR4.SA
2000-02-10,5.5,5.46,5.46,5.46,18600960000,PETR4.SA
2000-02-11,5.3,5.29,5.29,5.29,25297920000,PETR4.SA
2000-02-14,5.2,5.21,5.21,5.21,10119680000,PETR4.SA
2000-02-15,5.3,5.31,5.31,5.31,33546240000,PETR4.SA
2000-02-16,5.7,5.74,5.74,5.74,73564160000,PETR4.SA
2000-02-17,5.7,5.69,5.69,5.69,21411840000,PETR4.SA
2000-02-18,5.6,5.56,5.56,5.56,22484480000,PETR4.SA
2000-02-21,5.6,5.55,5.55,5.55,18700800000,PETR4.SA
2000-02-22,5.5,5.53,5.53,5.53,22474240000,PETR4.SA
2000-02-23,5.6,5.56,5.56,5.56,20334080000,PETR4.SA
2000-02-24,5.7,5.71,5.71,5.71,32931840000,PETR4.SA
2000-02-25,5.9,5.86,5.86,5.86,36958720000,PETR4.SA
2000-02-28,5.8,5.75,5.75,5.75,11596800000,PETR4.SA
2000-02-29,5.8,5.78,5.78,5.78,24322560000,PETR4.SA
2000-03-01,5.9,5.88,5.88,5.88,23828480000,PETR4.SA
2000-03-02,5.8,5.84,5.84,5.84,24053760000,PETR4.SA
2000-03-03,6.0,6.04,6.04,6.04,13217280000,PETR4.SA
2000-03-06,6.0,6.04,6.04,6.04,0,PETR4.SA
2000-03-07,6.0,6.04,6.04,6.04,0,PETR4.SA
2000-03-08,6.2,6.18,6.18,6.18,8337920000,PETR4.SA
2000-03-09,6.4,6.4,6.4,6.4,21578240000,PETR4.SA
2000-03-10,6.2,6.21,6.21,6.21,14763520000,PETR4.SA
2000-03-13,6.2,6.21,6.21,6.21,0,PETR4.SA
2000-03-14,5.8,5.81,5.81,5.81,28421120000,PETR4.SA
2000-03-15,5.9,5.89,5.89,5.89,25216000000,PETR4.SA
2000-03-16,5.9,5.93,5.93,5.93,23298560000,PETR4.SA
2000-03-17,5.9,5.86,5.86,5.86,18447360000,PETR4.SA
2000-03-20,5.7,5.69,5.69,5.69,16012800000,PETR4.SA
2000-03-21,5.8,5.8,5.8,5.8,25492480000,PETR4.SA
2000-03-22,5.8,5.81,5.81,5.81,25113600000,PETR4.SA
2000-03-23,5.8,5.81,5.81,5.81,26447360000,PETR4.SA
2000-03-24,5.8,5.81,5.81,5.81,15249920000,PETR4.SA
2000-03-27,6.2,6.25,6.25,6.25,22727680000,PETR4.SA
2000-03-28,6.0,5.99,5.99,5.99,16906240000,PETR4.SA
2000-03-29,6.0,5.96,5.96,5.96,21788160000,PETR4.SA
2000-03-30,5.8,5.82,5.82,5.82,16432640000,PETR4.SA
2000-03-31,5.9,5.9,5.9,5.9,20659200000,PETR4.SA
2000-04-03,5.8,5.85,5.85,5.85,18083840000,PETR4.SA
2000-04-04,5.8,5.82,5.82,5.82,33208320000,PETR4.SA
2000-04-05,6.1,6.06,6.06,6.06,40258560000,PETR4.SA
2000-04-06,6.2,6.15,6.15,6.15,24975360000,PETR4.SA
2000-04-07,6.2,6.19,6.19,6.19,19161600000,PETR4.SA
2000-04-10,6.1,6.05,6.05,6.05,13194240000,PETR4.SA
2000-04-11,5.9,5.9,5.9,5.9,21875200000,PETR4.SA
2000-04-12,6.0,6.04,6.04,6.04,45626880000,PETR4.SA
2000-04-13,5.9,5.9,5.9,5.9,40263680000,PETR4.SA
2000-04-14,5.9,5.9,5.9,5.9,0,PETR4.SA
2000-04-17,5.2,5.25,5.25,5.25,66396160000,PETR4.SA
2000-04-18,5.4,5.41,5.41,5.41,50900480000,PETR4.SA
2000-04-19,5.1,5.09,5.09,5.09,38799360000,PETR4.SA
2000-04-20,5.1,5.1,5.1,5.1,17896960000,PETR4.SA
2000-04-21,5.1,5.1,5.1,5.1,0,PETR4.SA
2000-04-24,5.0,5.0,5.0,5.0,20638720000,PETR4.SA
2000-04-25,5.4,5.45,5.45,5.45,38284800000,PETR4.SA
